Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,trans_TransData_55,KERNEL_AIVEC,1,1010,113.0,1763720941858801.553	,1763720941858914.553	
0,AsStrided228,KERNEL_AIVEC,1,1011,16.27,1763720942318305.011	,1763720942318321.281	
0,N/A,MEMCPY_ASYNC,1,1012,2.062,1763720942318488.969	,1763720942318491.031	
0,trans_TransData_55,KERNEL_AIVEC,1,1013,126.333,1763720942318566.261	,1763720942318692.594	
0,AsStrided229,KERNEL_AIVEC,1,1014,16.354,1763720942815151.094	,1763720942815167.448	
0,N/A,MEMCPY_ASYNC,1,1015,2.041,1763720942815309.990	,1763720942815312.031	
0,trans_TransData_55,KERNEL_AIVEC,1,1016,121.604,1763720942815383.344	,1763720942815504.948	
0,AsStrided230,KERNEL_AIVEC,1,1017,16.062,1763720943257295.907	,1763720943257311.969	
0,N/A,MEMCPY_ASYNC,1,1018,2.041,1763720943257477.761	,1763720943257479.802	
0,trans_TransData_55,KERNEL_AIVEC,1,1019,112.562,1763720943257559.636	,1763720943257672.198	
0,AsStrided231,KERNEL_AIVEC,1,1020,16.541,1763720943726471.053	,1763720943726487.594	
0,N/A,MEMCPY_ASYNC,1,1021,2.062,1763720943726637.136	,1763720943726639.198	
0,trans_TransData_55,KERNEL_AIVEC,1,1022,106.458,1763720943726745.907	,1763720943726852.365	
0,AsStrided232,KERNEL_AIVEC,1,1023,16.395,1763720944186323.428	,1763720944186339.823	
0,N/A,MEMCPY_ASYNC,1,1024,2.02,1763720944186543.490	,1763720944186545.510	
0,trans_TransData_55,KERNEL_AIVEC,1,1025,96.812,1763720944186638.490	,1763720944186735.302	
0,AsStrided233,KERNEL_AIVEC,1,1026,16.041,1763720944641855.032	,1763720944641871.073	
0,N/A,MEMCPY_ASYNC,1,1027,2.041,1763720944642050.219	,1763720944642052.260	
0,trans_TransData_55,KERNEL_AIVEC,1,1028,110.645,1763720944642146.136	,1763720944642256.781	
0,AsStrided234,KERNEL_AIVEC,1,1029,16.562,1763720945118799.886	,1763720945118816.448	
0,N/A,MEMCPY_ASYNC,1,1030,2.104,1763720945119007.719	,1763720945119009.823	
0,trans_TransData_55,KERNEL_AIVEC,1,1031,111.958,1763720945119081.303	,1763720945119193.261	
0,AsStrided235,KERNEL_AIVEC,1,1032,16.437,1763720945598947.344	,1763720945598963.781	
0,N/A,MEMCPY_ASYNC,1,1033,2.062,1763720945599139.990	,1763720945599142.052	
0,trans_TransData_55,KERNEL_AIVEC,1,1034,110.02,1763720945599224.178	,1763720945599334.198	
0,AsStrided236,KERNEL_AIVEC,1,1035,16.166,1763720946060688.740	,1763720946060704.906	
0,N/A,MEMCPY_ASYNC,1,1036,2.062,1763720946060861.032	,1763720946060863.094	
0,trans_TransData_55,KERNEL_AIVEC,1,1037,124.541,1763720946060936.365	,1763720946061060.906	
0,AsStrided237,KERNEL_AIVEC,1,1038,16.479,1763720946526597.574	,1763720946526614.053	
0,N/A,MEMCPY_ASYNC,1,1039,2.02,1763720946526768.490	,1763720946526770.510	
0,trans_TransData_55,KERNEL_AIVEC,1,1040,97.52,1763720946526837.199	,1763720946526934.719	
0,AsStrided238,KERNEL_AIVEC,1,1041,16.791,1763720946978954.928	,1763720946978971.719	
0,N/A,MEMCPY_ASYNC,1,1042,2.083,1763720946979127.094	,1763720946979129.177	
0,trans_TransData_55,KERNEL_AIVEC,1,1043,100.125,1763720946979371.011	,1763720946979471.136	
0,AsStrided239,KERNEL_AIVEC,1,1044,16.958,1763720947436109.594	,1763720947436126.552	
0,N/A,MEMCPY_ASYNC,1,1045,2.041,1763720947436316.824	,1763720947436318.865	
0,trans_TransData_55,KERNEL_AIVEC,1,1046,96.312,1763720947437130.240	,1763720947437226.552	
0,AsStrided240,KERNEL_AIVEC,1,1047,16.458,1763720947896451.678	,1763720947896468.136	
0,N/A,MEMCPY_ASYNC,1,1048,2.083,1763720947896646.094	,1763720947896648.177	
0,trans_TransData_55,KERNEL_AIVEC,1,1049,110.104,1763720947896721.136	,1763720947896831.240	
0,AsStrided241,KERNEL_AIVEC,1,1050,16.166,1763720948352843.469	,1763720948352859.635	
0,N/A,MEMCPY_ASYNC,1,1051,2.02,1763720948353063.928	,1763720948353065.948	
0,trans_TransData_55,KERNEL_AIVEC,1,1052,111.604,1763720948353140.969	,1763720948353252.573	
0,AsStrided242,KERNEL_AIVEC,1,1053,16.52,1763720948820406.115	,1763720948820422.635	
