Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,499,1,Sub61,N/A,N/A,N/A,1764070223941724.590	,2.125,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,500,1,trans_TransData_25,N/A,N/A,N/A,1764070223941726.798	,1.875,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,501,1,Mul62,N/A,N/A,N/A,1764070223941728.756	,33.292,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,502,1,trans_TransData_26,N/A,N/A,N/A,1764070223941762.132	,1.771,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,503,1,Add63,N/A,N/A,N/A,1764070223941767.444	,33.417,3.542,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,504,1,Conv2D66,N/A,N/A,N/A,1764070223941834.256	,85.688,33.396,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,505,1,Add58,N/A,N/A,N/A,1764070223941920.027	,2.146,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,506,1,Rsqrt59,N/A,N/A,N/A,1764070223941946.902	,2.25,24.729,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,507,1,Mul60,N/A,N/A,N/A,1764070223941991.132	,2.083,41.979,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,508,1,Mul60,N/A,N/A,N/A,1764070223942027.319	,1.958,34.104,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,509,1,Sub61,N/A,N/A,N/A,1764070223942063.590	,2.188,34.312,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,510,1,trans_TransData_25,N/A,N/A,N/A,1764070223942117.256	,1.771,51.479,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,511,1,Mul62,N/A,N/A,N/A,1764070223942126.506	,33.333,7.479,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,512,1,trans_TransData_26,N/A,N/A,N/A,1764070223942180.465	,2.0,20.625,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,513,1,Add63,N/A,N/A,N/A,1764070223942199.173	,33.896,16.708,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,514,1,Add67,N/A,N/A,N/A,1764070223942252.152	,46.562,19.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,515,1,Relu64,N/A,N/A,N/A,1764070223942298.798	,33.25,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,516,1,Conv2D65,N/A,N/A,N/A,1764070223942343.152	,422.271,11.104,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,517,1,Add58,N/A,N/A,N/A,1764070223942765.506	,2.396,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,518,1,Rsqrt59,N/A,N/A,N/A,1764070223942767.986	,2.458,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,519,1,Mul60,N/A,N/A,N/A,1764070223942770.527	,2.354,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,520,1,Mul60,N/A,N/A,N/A,1764070223942772.944	,2.083,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,521,1,Sub61,N/A,N/A,N/A,1764070223942775.111	,2.396,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,522,1,trans_TransData_25,N/A,N/A,N/A,1764070223942777.590	,2.042,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
