Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Sub50,KERNEL_AIVEC,1,172,2.583,1764070200199119.464	,1764070200199122.047	
0,trans_TransData_23,KERNEL_AIVEC,1,173,2.312,1764070200199190.319	,1764070200199192.631	
0,Mul51,KERNEL_AIVEC,1,174,67.187,1764070200199216.298	,1764070200199283.485	
0,trans_TransData_24,KERNEL_AIVEC,1,175,2.812,1764070200199314.402	,1764070200199317.214	
0,Add52,KERNEL_AIVEC,1,176,66.812,1764070200199340.548	,1764070200199407.360	
0,Add56,KERNEL_AIVEC,1,177,146.041,1764070200713060.881	,1764070200713206.922	
0,Relu53,KERNEL_AIVEC,1,178,65.0,1764070200713281.569	,1764070200713346.569	
0,Conv2D54,KERNEL_AICORE,1,179,403.833,1764070200713361.964	,1764070200713765.797	
0,Add47,KERNEL_AIVEC,1,180,2.354,1764070200713765.881	,1764070200713768.235	
0,Rsqrt48,KERNEL_AIVEC,1,181,2.458,1764070200713768.319	,1764070200713770.777	
0,Mul49,KERNEL_AIVEC,1,182,2.208,1764070200713770.839	,1764070200713773.047	
0,Mul49,KERNEL_AIVEC,1,183,1.979,1764070200713773.110	,1764070200713775.089	
0,Sub50,KERNEL_AIVEC,1,184,2.479,1764070200713775.152	,1764070200713777.631	
0,trans_TransData_23,KERNEL_AIVEC,1,185,2.25,1764070200713783.235	,1764070200713785.485	
0,Mul51,KERNEL_AIVEC,1,186,68.77,1764070200713843.381	,1764070200713912.151	
0,trans_TransData_24,KERNEL_AIVEC,1,187,2.229,1764070200713918.610	,1764070200713920.839	
0,Add52,KERNEL_AIVEC,1,188,67.27,1764070200713943.860	,1764070200714011.130	
0,Relu53,KERNEL_AIVEC,1,189,64.75,1764070200714011.194	,1764070200714075.944	
0,Conv2D54,KERNEL_AICORE,1,190,407.916,1764070200714076.027	,1764070200714483.943	
0,Add47,KERNEL_AIVEC,1,191,2.083,1764070200714484.027	,1764070200714486.110	
0,Rsqrt48,KERNEL_AIVEC,1,192,2.395,1764070200714486.194	,1764070200714488.589	
0,Mul49,KERNEL_AIVEC,1,193,2.395,1764070200714488.652	,1764070200714491.047	
0,Mul49,KERNEL_AIVEC,1,194,1.979,1764070200714491.131	,1764070200714493.110	
0,Sub50,KERNEL_AIVEC,1,195,2.291,1764070200714493.194	,1764070200714495.485	
0,trans_TransData_23,KERNEL_AIVEC,1,196,1.75,1764070200714495.548	,1764070200714497.298	
0,Mul51,KERNEL_AIVEC,1,197,65.27,1764070200714497.381	,1764070200714562.651	
0,trans_TransData_24,KERNEL_AIVEC,1,198,1.854,1764070200714562.735	,1764070200714564.589	
0,Add52,KERNEL_AIVEC,1,199,65.562,1764070200714564.652	,1764070200714630.214	
0,Add56,KERNEL_AIVEC,1,200,153.625,1764070200714630.277	,1764070200714783.902	
0,Relu53,KERNEL_AIVEC,1,201,64.708,1764070200714783.985	,1764070200714848.693	
0,Conv2D57,KERNEL_AICORE,1,202,286.333,1764070201226095.464	,1764070201226381.797	
0,Add58,KERNEL_AIVEC,1,203,4.666,1764070201712868.464	,1764070201712873.130	
0,Rsqrt59,KERNEL_AIVEC,1,204,3.916,1764070202153067.006	,1764070202153070.922	
0,Mul60,KERNEL_AIVEC,1,205,4.125,1764070202655825.985	,1764070202655830.110	
0,Mul60,KERNEL_AIVEC,1,206,2.27,1764070202655981.006	,1764070202655983.276	
0,Sub61,KERNEL_AIVEC,1,207,4.0,1764070203142237.610	,1764070203142241.610	
0,trans_TransData_25,KERNEL_AIVEC,1,208,3.979,1764070203644166.944	,1764070203644170.923	
0,Mul62,KERNEL_AIVEC,1,209,34.937,1764070203644221.110	,1764070203644256.047	
0,trans_TransData_26,KERNEL_AIVEC,1,210,4.125,1764070204157246.485	,1764070204157250.610	
0,Add63,KERNEL_AIVEC,1,211,34.979,1764070204157409.485	,1764070204157444.464	
0,Relu64,KERNEL_AIVEC,1,212,35.312,1764070204600534.256	,1764070204600569.568	
0,Conv2D65,KERNEL_AICORE,1,213,469.541,1764070205081086.881	,1764070205081556.422	
0,Add58,KERNEL_AIVEC,1,214,2.937,1764070205081556.506	,1764070205081559.443	
